abandon   v.抛弃，放弃=1
architect   n.建筑师=0
architecture   n.建筑学=0
arctic   adj.北极的=0
ardent   adj.热心的，强烈的=0
arduous   adj.艰巨的，努力的=0
area   n.地区，面积，领域=0
arena   n.竞技场=0
argue   v.争论，辩论=0
argument   n.争论，论点=0
arise   v.起来，出现=0
aristocracy   n.贵族阶层=0
aristocrat   n.贵族=0
aristocratic   adj.贵族的=0
arithmetic   n.算术=0
arm   n.手臂，扶手 v.武装=0
arms   n.武器=0
armchair   n.手扶椅=0
armour   n.盔甲，装甲=0
army   n.军队，陆军=0
around   adv.在周围，大约=0
arouse   v.唤醒，唤起=0
arrange   v.整理，安排=0
arrangement   n.安排，计划=0
array   v.装扮，排列=0
arrear   n.欠款=0
arrest   v.逮捕，吸引=0
arrival   n.到达，到货=0
arrive   v.到达，达到=0
arrogance   n.傲慢=0
arrogant   adj.傲慢的=0
arrogantly   adv.傲慢地=0
arrow   n.箭，箭头=0
art   n.艺术，技艺=0
article   n.文章，物品，冠词=0
artificial   adj.人造的，假的=0
artist   n.艺术家=0
artistic   n.艺术的=0
as   adv.一样 prep.作为=0
ascend   v.登，上升=0
ascertain   v.查明，弄清=0
ascribe   v.归于=0
asean   n.(缩)东盟=0
ash   n.灰，灰烬=0
ashamed   adj.惭愧的，羞耻的=0
ashore   adv.在岸上，上岸=0
ashtray   n.烟灰缸=0
asia   n.亚洲=0
asian   adj.亚洲的 n.亚洲人=0
aside   adv.在旁边，搁在一边=0
ask   v.问，要求，邀请=0
asleep   adj.睡着的=0
aspect   n.容貌，方面=0
aspirin   n.阿斯匹林=0
ass   n.驴，愚蠢的人=0
assassinate   v.暗杀=0
assassination   n.暗杀=0
assassinator   n.暗杀者=0
assault   v.袭击，攻击=0
assemble   v.集合，装配=0
assembly   n.集合，装配=0
assert   v.断言，宣称=0
assertion   n.断言=0
assess   v.评定，估价=0
assessment   n.估值，评价=0
assign   v.分配，指定=0
assignment   n.任务，作业=0
assist   v.协助=0
assistance   n.协助，辅助=0
assistant   n.助手=0
associate   v.联想 adv.副的=0
associated   adj.联合的=0
association   n.协会，合营=0
associative   adj.联想的=0
assorted   adj.各种各样的=0
assortment   n.花色品种=0
assume   v.假定，担任=0
assumption   n.假定，假装=0
assurance   n.自信，保证=0
assure   v.使..放心，向..保证=0
assured   adj.感到放心的=0
astonish   v.使惊讶=0
astonishment   n.惊讶=0
astound   v.使惊讶=0
astray   adv.(信件)遗失、误传=0
astronaut   n.宇宙飞行员=0
astronomer   n.天文学家=0
astronomical   adj.天文学的=0
astronomy   n.天文学=0
at   prep.在，处于，以=0
athlete   n.田径运动员=0
athletic   adj.田径的=0
atlantic   n.,adj.大西洋(的)=0
atlas   n.地图集=0
atmosphere   n.大气，气氛=0
atmospheric   adj.大气的，空气的=0
atom   n.原子，微粒=0
atomic   adj.原子的，原子能的=0
attach   v.附着于，依恋=0
attachment   n.依附，附件，爱慕=0
attack   v.,n.进攻，侵袭=0
attain   v.赢得，到达=0
attempt   v.,n.尝试，企图=0
attend   v.出席，照顾=0
attendance   n.出勤(率)，出席=0
attendant   n.随从，服务员=0
attention   n.注意，关心=0
attentive   adj.注意的，关心的=0
attentively   adv.关心地=0
attic   n.阁楼=0
attitude   n.态度，看法=0
attorney   n.辩护律师=0
attract   v.吸引，引力=0
attraction   adj.有吸引力的=0
attributable   adj.归于...的=0
attribute   v.属于 n.属性=0
attribution   n.属于=0
attributive   adj.定语的，属性的=0
auction   n.拍卖=0
audience   n.听众，观众=0
auditorium   n.礼堂=0
august   n.八月=0
aunt   n.伯(婶、姨、姑)母=0
aural   adj.听觉的，耳的=0
auspice   n.赞助，主办=0
australia   n.澳大利亚=0
australian   adj.澳大利亚的=0
author   n.作者，创造者=0
authority   n.权力，权威=0
authorization   n.授权=0
authorize   v.授权，批准=0
autobiography   n.自传=0
automate   v.自动化=0
automatic   adj.自动的=0
automation   n.自动化=0
automobile   n.汽车=0
autonomous   adj.自治的=0
autonomy   n.自治=0
autumn   n.秋天=0
auxiliary   adj.辅助的，补助的=0
avail   v.帮助，有用 n.效用=0
availability   n.可用性，可供货=0
available   adj.可得到的=0
avenge   v.报复=0
avenue   n.林荫道，途径=0
average   adj.平均的 n.平均数=0
averagely   adv.平均=0
aviation   n.航空=0
avoid   v.避免，逃避=0
await   v.等候，等待=0
awake   v.醒来,醒悟 adj.醒的=0
awaken   adj.醒着的=0
award   v.授予 n.奖，奖品=0
aware   adj.知道的，意识到的=0
away   adv.去，远离，在远处=0
awe   n.威惧=0
awesome   adj.可怕的=0
awful   adj.令人畏惧的=0
awfully   adv.可怕地，非常=0
awkward   adj.笨拙的，不熟练的=0
awkwardly   adv.笨拙地=0
awkwardness   n.笨拙=0
ax   n.斧子=0
axial   adj.轴的，轴向的=0
axis   n.轴，轴线，轴心=0
axle   n.(轮)轴=0
baby   n.婴儿，年龄最小的人=0
baby-sit   v.(替人)看护小孩=0
baby-sitter   n.看护小孩的人=0
bachelor   n.单身汉，学士=0
back   n.背 adj.背后的=0
backbone   n.脊梁骨=0
backdate   v.回溯=0
background   n.背景，经历=0
backing   n.倒退，支持物=0
backlog   n.未交付的订货=0
backward   adv.向后，逆=0
backwardness   n.落后(状态)=0
bacon   n.咸肉，熏肉=0
bacterium   n.细菌=0
bad   adj.坏的，低劣的=0
badge   n.徽章=0
badly   adv.坏，非常，严重地=0
badminton   n.羽毛球=0
baffle   v.困扰，难倒=0
bag   n.袋子，提包=0
baggage   n.行李=0
baggy   adj.袋状的=0
bait   n.饵，诱饵=0
bake   v.烤，烘=0
baker   n.面包师=0
bakery   n.面包店=0
balance   n.平衡，天平，余额=0
balcony   n.阳台=0
bald   adj.秃的=0
ball   n.球，球状物，舞会=0
ballet   n.芭蕾舞=0
balloon   n.气球=0
ballooning   n.热气球飞行运动=0
ball-point pen   n.圆珠笔=0
ballroom   n.舞厅=0
bamboo   n.竹=0
bamboo-shoot   n.竹笋=0
banana   n.香蕉=0
band   n.乐队，带子 v.联合=0
bandage   n.绷带=0
bandit   n.盗匪，歹徒=0
bang   n.,v.砰的一响=0
bank   n.岸，银行=0
banker   n.银行家=0
banking   n.银行业务、金融业=0
bankrupt   n.,v.,adj.破产=0
banner   n.旗帜，横幅=0
banquet   n.宴会=0
bar   n.棒，杆，酒吧=0
barber   n.理发师=0
bare   adj.裸的，直率的=0
barely   adv.赤裸裸地=0
bargain   n.交易，便宜货=0
barge   n.驳船=0
bark   n.狗吠，树皮 v.吠=0
barn   n.谷仓，牲口棚=0
barometer   n.晴雨表，标记=0
baron   n.男爵=0
baroness   n.男爵夫人，女男爵=0
barrel   n.桶，枪(炮)管=0
barren   adj.不育的，贫瘠的=0
barrier   n.障碍，壁垒=0
barter   n.易货贸易=0
base   n.基础，基地 v.基于=0
baseball   n.棒球=0
basement   n.地下室，地窖=0
basic   adj.基本的，基础的=0
basically   adv.基本上，主要地=0
basin   n.盆，盆地=0
basis   n.基础，根据=0
basket   n.篮子，筐=0
basketball   n.篮球=0
bat   n.球拍，蝙蝠 v.击打=0
bath   n.洗澡，浴室=0
bathe   v.洗澡，冲洗=0
bathroom   n.浴室，洗手间=0
batter   v.打击=0
battery   n.电池=0
battle   n.战斗，战役=0
bay   n.海湾，湾=0
bazaar   n.集市=0
b.c.   (缩)公元前=0
be   v.是，存在=0
beach   n.海滩，湖滨=0
bead   n.有孔小珠=0
beak   n.鸟嘴=0
beam   n.梁，射线 v.发光=0
bean   n.豆子=0
bear   v.负担，忍受，生育=0
bearing   n.举止，意义，轴承=0
bearish   adj.熊市的=0
beast   n.野兽，牲畜=0
beat   v.打，击败 n.击打=0
beautiful   adj.美丽的，绝妙的=0
beauty   n.美，美女=0
because   conj.因为，由于=0
become   v.变成=0
bed   n.床，河床，苗圃=0
bedroom   n.卧室=0
bee   n.蜜蜂=0
beef   n.牛肉=0
beer   n.啤酒=0
beetle   n.甲虫=0
before   prep.在...前面=0
beforehand   adv.事先，预先=0
beg   v.乞讨，恳求=0
beggar   n.乞丐=0
begin   v.开始，着手进行=0
beginner   n.初学者=0
beginning   n.开端，起点=0
behalf   n.代表=0
behave   v.行为，举动=0
behavior   n.行为，举止=0
behind   prep.在...后面=0
behindhand   adj.落后，事后=0
being   n.生物，存在=0
belief   n.信仰，信心=0
believe   v.相信，认为=0
bell   n.钟，铃=0
belly   n.肚子=0
belong   v.属于=0
beloved   adj.敬爱的 n.爱人=0
below   adj.,prep.在...下面=0
belt   n.带，腰带=0
bench   n.长凳，工作台=0
bend   v.弯曲，俯身 n.拐弯=0
beneath   prep.在...之下=0
beneficial   adj.有益的，有利的=0
beneficiary   n.受益者=0
benefit   n.益处，利益=0
benevolence   n.慈悲，捐助=0
benevolent   adj.乐善好施的=0
bent   adj.弯曲的=0
berry   n.浆果=0
beside   prep.在...之旁=0
besides   adj.而且 prep...之外=0
best   adj.最好的=0
best-seller   n.畅销书(货)=0
best-selling   adj.畅销的=0
bestow   v.赠给，授予=0
bet   n.,v.打赌=0
betray   v.背叛，泄露=0
betrayal   n.背叛，暴露=0
better   adj.更好的 adv.较好=0
better-off   adj.经济情况较好的=0
between   prep.在两者之间=0
beverage   n.饮料=0
beware   v.当心=0
bewilder   v.迷惑，茫然=0
beyond   prep.在...那边，超出=0
bias   n.偏好=0
bible   n.圣经=0
bicycle   n.自行车=0
bid   n.,v.报价，投标=0
bidding   n.投标=0
big   adj.大的，重大的=0
bike   n.自行车=0
bill   n.帐单，议案，钞票=0
billion   n.十亿=0
bind   v.捆绑，约束=0
binding   n.装订=0
biographer   n.传记记者=0
biography   n.传记=0
biologist   n.生物学家=0
biology   n.生物学=0
bird   n.鸟=0
birth   n.出生，创始=0
birthday   n.生日，诞辰=0
birthplace   n.出生地=0
biscuit   n.饼干=0
bishop   n.主教=0
bit   n.小片，一点=0
bite   n.,v.咬，叮 n.一口=0
bitter   adj.苦的，痛苦的=0
bitterly   adv.惨痛地，辛酸地=0
bitterness   n.苦味，苦难=0
b/l   n.(缩)提单=0
black   adj.黑的 n.黑色=0
blackboard   n.黑板=0
blacksmith   n.铁匠=0
blade   n.刀刃，叶片=0
blame   v.责备 n.过失=0
blank   adj.空白的 n.空格=0
blanket   n.毛毯=0
blast   n.阵风 v.爆炸=0
blaze   n.火光，光亮=0
bleach   v.漂白，变白=0
bleed   v.出血，流血=0
blend   v.混合，掺混=0
bless   v.保佑，祝福=0
blessing   n.祝福=0
blind   adj.瞎的 v.使失明=0
blink   adj.眨眼，闪烁=0
block   n.大块，街区，障碍物=0
blockage   n.封锁=0
blond   adj.金发的=0
blood   n.血，血统=0
bloody   adj.流血的，残忍的=0
bloom   n.花 v.开花=0
blossom   n.(果树的)花=0
blot   n.污迹=0
blouse   n.女衫=0
blow   v.吹，吹掉，刮风=0
blue   adj.蓝色的，忧郁的=0
blunder   n.大错=0
blunt   adj.钝的，生硬的=0
blush   v.脸红，害臊=0
blushy   adj.害羞的=0
board   n.木板，伙食，董事会=0
boarding   n.伙食=0
boast   v.夸口，以...而自豪=0
boat   n.小船，艇=0
body   n.身体，尸体，团体=0
bodyguard   n.保镖=0
boil   v.沸腾，煮沸=0
boiler   n.锅炉=0
boiling   adj.沸腾的=0
bold   adj.大胆的=0
boldness   n.胆略=0
bolt   n.螺检，插销 v.闩门=0
bomb   n.炸弹 v.轰炸=0
bomber   n.轰炸机=0
bona fide   adj.真诚的，无欺的=0
bond   n.束缚，联结，债券=0
bonded   adj.保税的=0
bone   n.骨，骨骼=0
bony   adj.骨头的=0
bonus   n.红利=0
book   n.书 v.预订(票)=0
booking   adj.定货=0
booklet   n.小册子=0
bookcase   n.书橱=0
bookshelf   n.书架=0
bookstore   n.书店=0
boom   v.隆隆响，兴旺，繁荣=0
booming   adj.兴旺的，繁荣的=0
boost   v.抬高，促进=0
boot   n.靴子=0
booth   n.货摊，电话亭=0
border   n.国界，边境=0
bore   v.烦扰，使厌烦，钻孔=0
boring   adj.讨厌的=0
born   adj.出生的，天生的=0
borrow   v.借，借用=0
borrowings   n.借款=0
bosom   n.胸，胸怀=0
boss   n.上司，老板=0
bossy   adj.好发号施令的=0
both   pron.,adj.双方，两=0
bother   v.打扰，麻烦 n.麻烦=0
bottle   n.瓶子=0
bottle-neck   n.影响...的环节=0
bottom   n.底部，末尾=0
bottom-line   n.末行数字，结果=0
bough   n.大树枝=0
bounce   v.跳起 n.跳跃=0
bound   v.缚，以...为界=0
boundary   n.界线，边界=0
bourgeois   n.资产阶级分子=0
bow   v.鞠躬，服从 n.弓=0
bowl   n.碗，钵=0
bowling   n.保龄球=0
box   n.箱，盒 v.拳击=0
boxer   n.拳击运动员=0
boxing   n.拳击=0
boxing-day   n.节礼日=0
boy   n.男孩，小伙子=0
boycott   v.,n.抵制=0
brace   n.支撑 v.激励=0
bracket   n.括号=0
brag   v.吹嘘，夸口=0
brain   n.脑子，头脑，智能=0
brake   n. 制动器 v.刹车=0
branch   n.树枝，分支，分部=0
brand   n.牌子，商标=0
brandy   n.白兰地=0
brass   n.黄铜=0
brave   adj.勇敢的 v.冒着=0
bravely   adv.勇敢地=0
bravery   n.勇敢=0
brazil   n.巴西=0
brazilian   adj.,n.巴西的(人)=0
breach   n.违反(契约)=0
bread   n.面包，生计=0
bread-earner   n.挣钱养家的人=0
breadth   n.宽度，大量=0
break   n.打破，破坏 n.裂口=0
breakage   n.裂口=0
breakdown   n.故障，衰竭=0
breakthrough   n.突破=0
breakfast   n.早饭=0
breast   n.乳房，胸脯=0
breath   n.呼吸，气息=0
breathe   v.呼吸=0
breed   v.繁殖，饲养 n.品种=0
breeze   n.微风=0
bribe   v.贿赂=0
bribery   v.贿赂=0
brick   n.砖=0
bride   n.新娘=0
bridegroom   n.新郎=0
bridge   n.桥梁，桥牌=0
bridle   n.约束 v.抑制=0
brief   adj.简短的=0
briefing   n.简要情况=0
briefly   adv.简单地，简短地=0
bright   adj.明亮的，鲜明的=0
brighten   v.使发光=0
brightness   n.光辉，明亮=0
brilliance   n.辉煌，光彩=0
brilliant   v.辉煌的，杰出的=0
brim   n.边，边缘=0
bring   v.拿来，带来=0
brink   n.边缘=0
brisk   adj.敏捷的，活跃的=0
bristle   n.鬃毛=0
britain   n.不列颠，英国=0
british   adj.英国的，英属的=0
brittle   adj.易碎的，脆的=0
broad   adj.宽的，辽阔的=0
broadcast   v.,n.广播=0
broadcasting   n.广播节目=0
broaden   v.加宽，扩大=0
brochure   n.产品介绍手册=0
broken   adj.破碎的，毁坏了的=0
broker   n.经纪人=0
bronze   n.青铜=0
brood   n.一窝=0
brook   n.小河，溪流=0
broom   n.扫帚=0
brother   n.兄弟，同胞=0
brotherhood   n.兄弟情谊=0
brother-in-law   n.姻兄(弟)=0
brow   n.眉毛，额=0
brown   n.,adj.褐色(的)=0
bruise   n.青肿 v.打伤=0
brush   n.刷子，画笔 v.刷=0
brutal   adj.野蛮的=0
brute   n.禽兽，畜生=0
bubble   n.气泡=0
bucket   n.水桶=0
bud   n.芽，蓓蕾=0
buddhism   n.佛教=0
buddhist   n.佛教徒=0
budget   n.预算=0
buffalo   n.水牛，野牛=0
buffet   n.冷餐=0
bug   n.臭虫，虫子=0
bugle   n.喇叭=0
build   v.建造，建设=0
builder   n.建筑工人，建设者=0
building   n.建筑物，大楼=0
bulb   n.球形物，灯泡=0
bulk   n.体积，大半=0
bulky   adj.庞大的，笨重的=0
bull   n.公牛=0
bullet   n.子弹=0
bulletin   n.公报=0
bullion   n.金块，金条=0
bullish   adj.行情看涨的=0
bump   v.碰，颠簸 n.碰撞=0
bumpy   adj.颠簸不平的=0
bunch   n.一束=0
bundle   n.,v.捆，包=0
burden   n.担子，负担=0
burdensome   adj.沉重的=0
bureau   n.局，司，办公室=0
bureaucracy   n.官僚主义=0
bureaucratic   adj.官僚主义的=0
burglar   n.夜盗，窃贼=0
burglary   n.盗窃=0
burial   n.埋葬=0
burn   v.烧，燃烧，烧伤=0
burner   n.喷灯=0
burnt   adj.烧焦的，烧坏的=0
burst   v.,n.爆炸，破裂=0
